Proteome_ID,Tax_ID,SUPERREGNUM
UP000199213,995066,bacteria
UP000215127,1276538,eukaryota
UP000201395,1922728,viruses
UP000202304,1980430,viruses
UP000001933,56780,bacteria
UP000035709,1600,bacteria
UP000256499,2094725,viruses
UP000516046,2766537,bacteria
UP000611277,73333,eukaryota
UP000118151,31588,viruses
UP000053300,225992,bacteria
UP000187408,1914305,bacteria
UP000261914,2293728,viruses
UP000595861,2796517,viruses
UP000537234,450177,eukaryota
UP000463961,1751046,bacteria
UP000516550,2759392,viruses
UP000431401,2585199,bacteria
UP000288308,1868221,viruses
UP000005695,281689,bacteria
UP000593594,2593653,bacteria
UP000595019,2751373,viruses
UP000593702,109981,viruses
UP000240709,2126736,viruses
UP000204130,627503,viruses
UP000296863,2548230,viruses
UP000676026,2604910,viruses
UP000561568,2021369,bacteria
UP000203090,1224510,viruses
UP000203914,1590836,viruses
UP000204111,1922647,viruses
UP000318944,2490450,viruses
UP000095036,1896164,bacteria
UP000050966,1736341,bacteria
UP000007518,1131316,viruses
UP000315971,543615,bacteria
UP000548978,69670,bacteria
UP000077255,445710,bacteria
UP000259030,317577,bacteria
UP000678589,2843908,viruses
UP000201874,1147155,viruses
UP000681649,2844380,bacteria
UP000202326,2560371,viruses
UP000680862,2813343,viruses
UP000053558,741705,eukaryota
UP000502771,2575352,viruses
UP000275076,284579,bacteria
UP000153548,906886,viruses
UP000279721,2488654,viruses
UP000201196,1923360,viruses
UP000197619,299123,eukaryota
UP000189704,1868482,eukaryota
UP000101661,35314,viruses
UP000677210,2786040,viruses
UP000223738,1815582,viruses
UP000675993,2099567,viruses
UP000641137,1565040,bacteria
UP000468581,472055,bacteria
UP000204189,1821552,viruses
UP000324832,189913,eukaryota
UP000256970,3088,eukaryota
UP000224877,1880590,viruses
UP000494363,627669,bacteria
UP000279551,2282630,viruses
UP000769039,2093792,archaea
UP000222075,1675552,viruses
UP000464205,2696397,viruses
UP000004685,575590,bacteria
UP000321526,2596677,viruses
UP000288293,880057,bacteria
UP000006559,362948,bacteria
UP000659047,2799638,bacteria
UP000290049,2201042,viruses
UP000207613,631345,viruses
UP000030116,1515615,bacteria
UP000320841,2591131,viruses
UP000009178,910473,viruses
UP000518305,243314,eukaryota
UP000677553,2065036,viruses
UP000221275,1838157,viruses
UP000249402,1448316,eukaryota
UP000053761,1736477,bacteria
UP000660803,1926292,bacteria
UP000122992,11908,viruses
UP000540089,75485,eukaryota
UP000228847,2041348,viruses
UP000681572,2786804,viruses
UP000019300,1455074,viruses
UP000000267,436907,eukaryota
UP000501771,2051550,viruses
UP000283832,1894971,bacteria
UP000258373,2170705,viruses
UP000293430,2530140,viruses
UP000203836,150285,viruses
UP000500851,2705110,viruses
UP000115734,529058,viruses
UP000001702,706191,bacteria
UP000240252,2070187,viruses
UP000002457,521011,archaea
UP000290823,2303160,viruses
UP000028945,1072685,bacteria
UP000663645,2813264,viruses
UP000268857,211165,bacteria
UP000122426,1823757,viruses
UP000204036,1923355,viruses
UP000051216,1736570,bacteria
UP000202480,1922354,viruses
UP000502222,2713295,viruses
UP000294953,2510466,viruses
UP001057519,2946118,viruses
UP000286976,946228,bacteria
UP000298663,34508,eukaryota
UP000257855,2107713,bacteria
UP000015604,1379698,bacteria
UP000594599,2777375,viruses
UP000024435,1471542,viruses
UP000225553,2026080,viruses
UP000272700,2419581,viruses
UP000202459,1930302,viruses
UP000297034,2560714,viruses
UP000164617,40270,viruses
UP000431779,2686087,viruses
UP000007078,766184,viruses
UP000465810,2692619,bacteria
UP000004080,1196324,bacteria
UP000010445,1035195,bacteria
UP000628736,2763048,bacteria
UP000054559,454286,eukaryota
UP000503264,1032067,bacteria
UP000248330,985250,bacteria
UP000198813,1780376,bacteria
UP000651905,2760034,bacteria
UP000202653,445435,viruses
UP000018309,1262987,bacteria
UP000222533,1226260,viruses
UP000554454,2511932,archaea
UP000677543,2786187,viruses
UP000002280,13616,eukaryota
UP000282818,1815562,bacteria
UP000199300,872970,bacteria
UP000002207,240015,bacteria
UP000187101,1936081,bacteria
UP000266016,228899,bacteria
UP000203718,1923196,viruses
UP000580250,390850,eukaryota
UP000621799,1828826,bacteria
UP000315916,51671,bacteria
UP000053927,721885,eukaryota
UP000325902,45133,eukaryota
UP000679998,2786518,viruses
UP000257245,2283027,viruses
UP000202982,1873985,viruses
UP000027384,1510440,viruses
UP000002577,127508,viruses
UP000528419,2749828,bacteria
UP000538147,1070431,bacteria
UP000546986,52622,eukaryota
UP000204206,223351,viruses
UP000568380,714136,bacteria
UP000256931,2029673,viruses
UP000166258,2170107,viruses
UP000323453,2583183,viruses
UP000680190,2786527,viruses
UP000202016,218667,viruses
UP000172353,83191,viruses
UP000525416,227184,eukaryota
UP000007382,1162668,bacteria
UP000196472,1965558,bacteria
UP000276058,2495593,bacteria
UP000002029,479432,bacteria
UP000296499,2558661,viruses
UP000018191,1263038,bacteria
UP000029221,323273,bacteria
UP000094291,197479,bacteria
UP000070184,1698260,archaea
UP000188879,1817963,bacteria
UP000007522,1115696,viruses
